backend_name,last_update_date,gate,qubits,qubit_0,qubit_1,n_qubits,gate_error,gate_length_ns
ibm_aachen,2025-09-07T14:14:55-07:00,id,7,7,,1,0.00023783544291496836,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,17,17,,1,0.0002189313223654537,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,25,25,,1,0.0002231895304760301,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,26,26,,1,0.00027260794930200296,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,27,27,,1,0.00238445127744987,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,28,28,,1,0.00026987417196191045,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,29,29,,1,0.00019522373194516123,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,37,37,,1,0.00038800183796588593,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,38,38,,1,0.0002504569873751095,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,43,43,,1,0.00014781604706543615,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,44,44,,1,0.0001384811175113658,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,45,45,,1,0.00026544085058969615,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,46,46,,1,0.00017932690599079492,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,47,47,,1,0.00021970215025301788,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,48,48,,1,0.0002578773622876775,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,49,49,,1,0.0007037646137086924,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,50,50,,1,0.00026147752980203956,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,51,51,,1,0.00024019642818715113,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,56,56,,1,0.00014514846465633842,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,57,57,,1,0.00023045110604821535,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,58,58,,1,0.00018811324860995023,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,63,63,,1,0.00012341140607258208,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,64,64,,1,0.00014130743230447116,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,65,65,,1,0.00015291663021493106,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,66,66,,1,0.00025017839261144714,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,67,67,,1,0.0001074436950267187,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,68,68,,1,0.00027550067214694387,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,69,69,,1,0.0004047238002103322,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,70,70,,1,0.0002754888275513566,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,71,71,,1,0.00022484115322970135,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,72,72,,1,0.00015721495578772452,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,73,73,,1,0.00023878711933159082,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,77,77,,1,0.00021172897665086262,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,78,78,,1,0.00026297362757375366,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,79,79,,1,0.00017734138219676756,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,85,85,,1,0.00022544188304903165,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,86,86,,1,0.00030311884053803897,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,87,87,,1,0.0002571702705747334,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,88,88,,1,0.00019883402089786222,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,89,89,,1,0.0002479315184684198,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,90,90,,1,0.000287249685549164,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,91,91,,1,0.0008144606983957006,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,92,92,,1,0.00014142040036601013,32
ibm_aachen,2025-09-07T14:14:55-07:00,id,93,93,,1,0.00022090340406949528,32
